"Report","Date"
"FinAccess  Household 2013 Key Results Report","16/11/2017"
"FinAccess Survey Launch Presentation","28/02/2022"
"FinAccess 2021 English Version-Questionnaire","16/12/2021"
"FinAccess  Household 2009 Key Results Report","16/11/2017"
"FinAccess Household 2019 Key Results Report","14/06/2019"
"2021 FinAccess Survey Report Launched","16/12/2021"
"Infographic FNL","16/12/2021"
"FinAccess 2021 Manual","16/12/2021"
"FinAccess  Household 2006 Key Results Report","16/11/2017"
"FinAccess_launch","16/12/2021"
"FinAccess  Household 2016 Key Results Report","16/11/2017"
